"","Symbol","Name","Branche"
"487","BTWNU","Bridgetown Holdings Limited ",NA
"488","BUG","Global X Cybersecurity ETF",NA
"489","BUSE","First Busey","Finanzen"
"490","BVXV","BiondVax Pharmaceuticals","Gesundheitswesen"
"491","BWACU","BETTER WORLD ACQUISITION CORP. ",NA
"492","BWAY","Brainsway","Technologie"
"493","BWB","Bridgewater Bancshares","Finanzen"
"494","BWEN","Broadwind","Finanzen"
"495","BWFG","Bankwell Financial Group","Finanzen"
"496","BWMX","Betterware de Mexico S.A.B de C.V. ",NA
"497","BXRX","Baudax Bio","Gesundheitswesen"
"498","BYFC","Broadway Financial","Finanzen"
"499","BYND","Beyond Meat","Konsumgüter"
"500","BYSI","BeyondSpring","Gesundheitswesen"
"501","BZUN","Baozun",NA
"502","CAAS","China Automotive Systems","Fahrzeugindustrie"
"503","CABA","Cabaletta Bio","Technologie"
"504","CAC","Camden National","Finanzen"
"505","CACC","Credit Acceptance","Finanzen"
"506","CACG","ClearBridge All Cap Growth ETF",NA
"507","CAKE","The Cheesecake Factory Incorporated ",NA
"508","CALA","Calithera Biosciences","Technologie"
"509","CALB","California BanCorp ",NA
"510","CALM","Cal",NA
"511","CALT","Calliditas Therapeutics AB ",NA
"512","CAMP","CalAmp",NA
"513","CAMT","Camtek",NA
"514","CAN","Canaan",NA
"515","CAPA","HighCape Capital Acquisition",NA
"516","CAPR","Capricor Therapeutics",NA
"517","CAR","Avis Budget Group",NA
"518","CARA","Cara Therapeutics","Technologie"
"519","CARE","Carter Bank & Trust ",NA
"520","CARG","CarGurus",NA
"521","CARV","Carver Bancorp","Finanzen"
"522","CARZ","First Trust NASDAQ Global Auto Index Fund",NA
"523","CASA","Casa Systems",NA
"524","CASH","Meta Financial Group","Finanzen"
"525","CASI","CASI Pharmaceuticals","Technologie"
"526","CASS","Cass Information Systems Inc ",NA
"527","CASY","Caseys General Stores",NA
"528","CATB","Catabasis Pharmaceuticals","Gesundheitswesen"
"529","CATC","Cambridge Bancorp ",NA
"530","CATH","Global X S&P 500 Catholic Values ETF",NA
"531","CATM","Cardtronics plc ",NA
"532","CATY","Cathay General Bancorp ",NA
"533","CBAN","Colony Bankcorp","Finanzen"
"534","CBAT","CBAK Energy Technology",NA
"535","CBAY","CymaBay Therapeutics","Gesundheitswesen"
"536","CBFV","CB Financial Services","Finanzen"
"537","CBIO","Catalyst Biosciences ",NA
"538","CBLI","Cleveland BioLabs",NA
"539","CBMB","CBM Bancorp","Finanzen"
"540","CBMG","Cellular Biomedicine Group","Finanzen"
"541","CBNK","Capital Bancorp","Finanzen"
"542","CBPO","China Biologic Products Holdings","Gesundheitswesen"
"543","CBRL","Cracker Barrel Old Country Store",NA
"544","CBSH","Commerce Bancshares","Finanzen"
"545","CBTX","CBTX","Finanzen"
"546","CCAP","Crescent Capital BDC","Finanzen"
"547","CCB","Coastal Financial",NA
"548","CCBG","Capital City Bank Group ",NA
"549","CCCC","C4 Therapeutics",NA
"550","CCD","Calamos Dynamic Convertible & Income Fund ",NA
"551","CCLP","CSI Compressco LP ",NA
"552","CCMP","CMC Materials",NA
